Canny User ID,Topic Title,Comment,Created At
5de144bf84a659363ba54756,"Station + developers = ideas gathering

","Hey Alexandre,  
I think that definitely a few things could be done:

   Allow developers to add to an online database that stores information for every service being used(link etc) and create new services for other users.
   Give access to customizable CSS
   Release a web version?

Just a few suggestions.  
Really like the idea!

Dylan

",2017-11-14T20:38:16.593Z
5a6ffaefec6dbc4d8214e8aa,"Station + developers = ideas gathering

","

[@dylan](/u/dylan) thanks for your ideas!

What do you mean by “an online database that stores information for every
service being used”?

",2017-11-26T20:14:56.970Z
5de144bf84a659363ba54756,"Station + developers = ideas gathering

","

Hi [@alexandre](/u/alexandre) ,  
I mean that it might be cool to have some sort of database or spreadsheet that
lists everything available in Station(GDocs, GitHub, Slack, etc…), shows basic
info that allows the app to run each individual site, and lets developers
custom add other things they want on Station without it being a hassle.

",2017-11-28T01:54:30.131Z
5de144c50732316dbb414df4,"Station + developers = ideas gathering

","

What apps are being built by Station? I’d love to see spotify and other apps
be added to make Station a friendlier application beyond work-specific apps.

That being said, there are a couple improvements I can think of:

   Back/forward button - the browser experience is limited if you can’t go back or forward and have to rely on a web apps navigation buttons to get around.
   Notifications should disappear - ex. after downloading a pdf, the notification is persistent instead of expiring in a few moments.
   Keyboard shortcut to jump to different tabs - if this already exists, in-app tutorial would be highly beneficial.

How can developers contribute to Station?

",2017-11-29T19:29:33.124Z
5ac78af6efde2e38d63b2f82,"Station + developers = ideas gathering

","

As a developer, I would love to see the ability to build an “Add to Station”
button, to quickly add a new app with some configuration variables (account-
level things) to apps we build that Station supports.

",2017-12-01T19:54:02.601Z
5ac78af6efde2e38d63b2f82,"Station + developers = ideas gathering

","

As a developer, I’d love a Station SDK to help us expedite the time it takes
the Station team to support our apps. Some kind of pre-approval checker.and
hooks that require station developers to build currently.

",2017-12-01T19:54:55.389Z
5a6f65f5ec6dbc4d8214e28b,"Station + developers = ideas gathering

","

We have moved to a new community, you can now follow this topics
here:<https://station.canny.io/admin/board/developers/p/station-developers-
ideas-gathering>

",2019-12-13T15:15:48.392Z
5a6f6579ec6dbc4d8214e273,"Have access to Station source code

","

Hey [@MatteoPiatti](/u/matteopiatti),

This article will answer your question  
[faq.getstation.com](https://faq.getstation.com/development-and-technical-
aspects/is-station-open-source-can-i-fork-station)

### [Is Station open-source? Can I fork
Station?](https://faq.getstation.com/development-and-technical-aspects/is-
station-open-source-can-i-fork-station)

No it isn't but we regularly contribute to projects we rely on

",2018-07-10T13:18:39.032Z
5a6f65f5ec6dbc4d8214e28b,"Have access to Station source code

","

We have moved to a new community, you can now follow this topics
here:<https://station.canny.io/admin/board/developers/p/have-access-to-
station-source-code>

",2019-12-13T15:15:47.117Z
5ddeb0505450cd7acb586780,":eyes: Station is looking for beta-testers of its SDK

","

I am confused as to in how long the SDK will be available for beta testing. Is
that known yet? If so in how long?

",2018-11-02T09:09:41.414Z
