Canny User ID,Topic Title,Comment,Created At
5de1449584a659363ba54683,"Welcome to Station's official community :hugs:

","Do you mind sharing what app the community runs on?

",2017-11-30T13:53:23.318Z
5de142b534bf1b3635f07d7c,"Welcome to Station's official community :hugs:

","

looking at the source code of the page, most likely
<https://github.com/discourse/discourse>

",2018-03-09T19:40:27.734Z
5de13d304d88ec6dd511b5f2,"Welcome to Station's official community :hugs:

","

Definitely Discourse. No doubts there.

",2018-04-30T12:04:50.421Z
5de13c8d34bf1b3635f06013,":pray: Feedbacks needed :pray: -- Google Drive integration with the quick-
switch

","

I was looking back and just realized I had posted this in the wrong place so
re-posting on the proper thread. Also, my post was so long  here is the TL;DR:

  1. Make it possible to close an open (google doc) tab with the keyboard: Cmd+W
  2. Let me switch between multiple google docs with the keyboard: Cmd+[ whatever number is google docs ]

  

This new feature has been awesome (quick switch w/ google docs). It’s now
making me really want to be able to switch between open google docs using the
keyboard.

Cmd+[1-9] is such a powerful shortcut. My recommendation for switching between
tabs within an app is to make it work just like Cmd+Tab does on Mac. For
example:

Cmd+6 takes me to my Google Drive, it shows me whichever doc I was most
recently viewing.  
Now, imagine I press Cmd+6 again while already viewing Google Drive. This
should toggle to the second-most-recent doc I was viewing.  
If I press Cmd+6 then let go of 6 but keep holding Cmd it shows me the flyout
of all the open docs, I can press 6 over and over again while holding Cmd and
it will cycle through them. When I let go of Cmd it selects it.

Just like Cmd+Tab. The key with Cmd+Tab is that once you’ve selected a new
app, your previous app becomes the second-most recent. This way Cmd+Tab lets
you always conveniently cycle between your last two apps. Likewise, Cmd+6
would let me always cycle between my two most recent docs.

Anyway, just a suggestion to take this feature to the next level! This seems
to matter more for Google Drive than any other app because it’s the app where
you inevitably end up with lots of open sub-tabs.

Oh, I also want to be able to close an open Station app tab with keyboard
shortcut. You should also support this with Cmd+W. This would close the
current open app, and likewise you could support this with the Cmd+6 cycling.
I do this all the time with Cmd+Tab. For example, when I want to close a bunch
of running Mac programs I press Cmd+Tab, let go of Tab but hold Cmd. Tab
through a couple times to get to the right app but I still don’t let go of
Cmd, instead I tap Q and it closes the app. It’s awesome to be able to close a
bunch of Mac apps without needing to switch to them, likewise for closing a
bunch of Station Google Drive tabs.

  

",2018-08-19T21:35:08.950Z
5de13118bb2f336dd45f59ed,":pray: Feedbacks needed :pray: -- Google Drive integration with the quick-
switch

","

I really like this feature, Saves me a lot of time when searching for a
document on 3 different drives at once.

",2018-10-26T14:19:33.095Z
5de13118bb2f336dd45f59ed,":pray: Feedbacks needed :pray: -- Revamp of ""My Apps"" in the Settings

","

I really like the color scheme.  
Maybe a counter of how much CPU/RAM each Account/App uses could be added but
its not necessary because there already is a Process Manager build in.

",2018-10-26T14:14:18.539Z
5de138ea4d88ec6dd511a225,":pray: Feedbacks needed :pray: -- Slack integration in the Quick-Switch

","

Hey guys,

This is a great feature that I would love to us, but I can’t get it to work.
Searching for channels does not return any of my channels in the quick switch.

I am on High Sierra, 10.13.15. Station version is 1.16.0.

I tried removing slacking and adding it again, as well as restarting Station,
but neither worked

",2018-07-13T21:48:35.755Z
5de13ca934bf1b3635f060d6,":pray: Feedbacks needed :pray: -- Slack integration in the Quick-Switch

","

Hi,

Not working for me. Here is the build details -

Stationversion 1.16.0  
Electron 2.0.2  
Chrome 61.0.3163.100  
Node 8.9.3  
v8 6.1.534.41  
@getstation/services 0.18.5

Can you put up some details, how does it actually work.

Best

",2018-07-18T11:20:22.667Z
5a6ffaefec6dbc4d8214e8aa,":pray: Feedbacks needed :pray: -- Slack integration in the Quick-Switch

","

[@ashwanihere](/u/ashwanihere) [@AhmadB](/u/ahmadb) with your help, we have
identified an issue that could impact you. We’ll be releasing a fix early next
week! Thanks for your feedbacks!  
Edit: fix was released in v1.16.2 (see comment below).

",2018-07-18T12:41:50.132Z
5a6ffaefec6dbc4d8214e8aa,":pray: Feedbacks needed :pray: -- Slack integration in the Quick-Switch

","

We just released Station v1.16.2 that fixed an issue that could prevent some
users to see Slack channels in Quick-Switch’s results.

",2018-07-19T07:29:34.224Z
